CODENAME        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                 
bookworm        deluge                      deluge-console                  2.0.3.1                deluge-console_2.0.3.1-1build1_all.deb                   5a3bb242f369f9b0eff6dd1a429bc4e6    
bullseye        deluge                      deluge-console                  2.0.3.1                deluge-console_2.0.3.1-1build1_all.deb                   b29f75d12ffff9434e32a0c31ca36c4a    
jammy           deluge                      deluge-console                  2.0.3.1                deluge-console_2.0.3.1-1build1_all.deb                   d1b2f1824304a174fff69ebefebb550e    
bookworm        deluge                      deluge-console                  2.0.5                  deluge-console_2.0.5-1build1_all.deb                     0cf23dfba61cf0fb073ba6aac676d196    
bullseye        deluge                      deluge-console                  2.0.5                  deluge-console_2.0.5-1build1_all.deb                     7a96569a32aef20757f8fff7d2ec9275    
jammy           deluge                      deluge-console                  2.0.5                  deluge-console_2.0.5-1build1_all.deb                     aa6bca361a2ecc57fbc3e238be01c011    
bookworm        deluge                      deluge-console                  2.1.1                  deluge-console_2.1.1-1build1_all.deb                     b2c436fa4eed8144427f33c9492f8f6b    
bullseye        deluge                      deluge-console                  2.1.1                  deluge-console_2.1.1-1build1_all.deb                     e784183834d7c4a8aae1d368c905db9d    
jammy           deluge                      deluge-console                  2.1.1                  deluge-console_2.1.1-1build1_all.deb                     7f021830c12ba81018f6c3fd566fab25    

bookworm        deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         d054342ae9a71fc0e2dcc5b925ff613a    
bullseye        deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         5125636d5f2129d3eb83d697bf93eff6    
jammy           deluge                      deluge-gtk                      2.0.3                  deluge-gtk_2.0.3-1build1_all.deb                         185464581dda0787eef4410222213c83    
bookworm        deluge                      deluge-gtk                      2.0.3.1                deluge-gtk_2.0.3.1-1build1_all.deb                       e435c0044ed4bd7c1b02b9cfc82861ae    
bullseye        deluge                      deluge-gtk                      2.0.3.1                deluge-gtk_2.0.3.1-1build1_all.deb                       16f5674b4920fbe31819efae86ba6b2e    
jammy           deluge                      deluge-gtk                      2.0.3.1                deluge-gtk_2.0.3.1-1build1_all.deb                       a118cc534f699afd7b9ee998ab5456e5    
bookworm        deluge                      deluge-gtk                      2.0.5                  deluge-gtk_2.0.5-1build1_all.deb                         14e78445e8e1636f24b062acda7408d2    
bullseye        deluge                      deluge-gtk                      2.0.5                  deluge-gtk_2.0.5-1build1_all.deb                         c0a309824bac4054373a03c324d2fe3e    
jammy           deluge                      deluge-gtk                      2.0.5                  deluge-gtk_2.0.5-1build1_all.deb                         d366df0f3a075c7be6e81fdb535a6741    
bookworm        deluge                      deluge-gtk                      2.1.1                  deluge-gtk_2.1.1-1build1_all.deb                         25e847e7197e2ec0711ff76ca3113f12    
bullseye        deluge                      deluge-gtk                      2.1.1                  deluge-gtk_2.1.1-1build1_all.deb                         35a2bba905d38e3f009eb24f1ae3a277    
jammy           deluge                      deluge-gtk                      2.1.1                  deluge-gtk_2.1.1-1build1_all.deb                         25f0317c196263848b57b0d25092c373    

bookworm        deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         33695f82efac204f9f6bff3dd1b94df3    
bullseye        deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         80c113ceb702c49f508a84eaabe5b73f    
jammy           deluge                      deluge-web                      2.0.3                  deluge-web_2.0.3-1build1_all.deb                         537fc4db560b087eedea89c7668cf885    
bookworm        deluge                      deluge-web                      2.0.3.1                deluge-web_2.0.3.1-1build1_all.deb                       2eb8d5a4af51032c846081594de40507    
bullseye        deluge                      deluge-web                      2.0.3.1                deluge-web_2.0.3.1-1build1_all.deb                       8cc9d1f9f50ba9d298a9fc75f25f900b    
jammy           deluge                      deluge-web                      2.0.3.1                deluge-web_2.0.3.1-1build1_all.deb                       604856e6d1da5d5a24c1908a166156d1    
bookworm        deluge                      deluge-web                      2.0.5                  deluge-web_2.0.5-1build1_all.deb                         f812400875799e58dc6d57b14f8e50cd    
bullseye        deluge                      deluge-web                      2.0.5                  deluge-web_2.0.5-1build1_all.deb                         7ece0c5e196a19e62af7a81070d4e54c    
jammy           deluge                      deluge-web                      2.0.5                  deluge-web_2.0.5-1build1_all.deb                         3ca2b1d06e2e060abe69958d74041cb4    
bookworm        deluge                      deluge-web                      2.1.1                  deluge-web_2.1.1-1build1_all.deb                         c86c5ce7397aadfb6bdd6f27c6eee2b7    
bullseye        deluge                      deluge-web                      2.1.1                  deluge-web_2.1.1-1build1_all.deb                         08da394f5a0032937b1030aed1733fa5    
jammy           deluge                      deluge-web                      2.1.1                  deluge-web_2.1.1-1build1_all.deb                         28145a53a60c57d8a907ab96e7ce014e    

bookworm        deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             cb7791719a9ef97a1c0c6b5ade2e8f4f    
bullseye        deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             6e7037302ba53ae06f60705c54a4e704    
jammy           deluge                      deluge                          2.0.3                  deluge_2.0.3-1build1_all.deb                             c2cd6f87b429cd20ce338142ec5392a2    
bookworm        deluge                      deluge                          2.0.3.1                deluge_2.0.3.1-1build1_all.deb                           fb9177f44b79623642ab590a9659d805    
bullseye        deluge                      deluge                          2.0.3.1                deluge_2.0.3.1-1build1_all.deb                           b9c8c48e587243af96ab879a3b61abdb    
jammy           deluge                      deluge                          2.0.3.1                deluge_2.0.3.1-1build1_all.deb                           6a271213fef34b8e2f77e43fb2b08f02    
bookworm        deluge                      deluge                          2.0.5                  deluge_2.0.5-1build1_all.deb                             9e9908c1a3eb18775f0d30d77aad38ba    
bullseye        deluge                      deluge                          2.0.5                  deluge_2.0.5-1build1_all.deb                             a3b4af432ec28efa38e8d82ccfceec47    
jammy           deluge                      deluge                          2.0.5                  deluge_2.0.5-1build1_all.deb                             84067217b0adbc5e490e08a53506202a    
bookworm        deluge                      deluge                          2.1.1                  deluge_2.1.1-1build1_all.deb                             45f6ee37b835f10a3517116eb24bab1d    
bullseye        deluge                      deluge                          2.1.1                  deluge_2.1.1-1build1_all.deb                             71b8a2a9080400e01e03c7973466753b    
jammy           deluge                      deluge                          2.1.1                  deluge_2.1.1-1build1_all.deb                             09ed634b6ab4b7e85f56e197e74756b0    

bookworm        deluge                      deluged                         2.0.3                  deluged_2.0.3-1build1_all.deb                            5409562e3f8a1d209ecd42a6d04856d7    
bullseye        deluge                      deluged                         2.0.3                  deluged_2.0.3-1build1_all.deb                            5409562e3f8a1d209ecd42a6d04856d7    
jammy           deluge                      deluged                         2.0.3                  deluged_2.0.3-1build1_all.deb                            a8e9d90db4bba01b4eef1dc0743ed8a1    
bookworm        deluge                      deluged                         2.0.3.1                deluged_2.0.3.1-1build1_all.deb                          e2c9d8e538080079c97be937fa7cacd7    
bullseye        deluge                      deluged                         2.0.3.1                deluged_2.0.3.1-1build1_all.deb                          e2c9d8e538080079c97be937fa7cacd7    
jammy           deluge                      deluged                         2.0.3.1                deluged_2.0.3.1-1build1_all.deb                          691c889dfd3a68c0dcb2012d37c4d5fa    
bookworm        deluge                      deluged                         2.0.5                  deluged_2.0.5-1build1_all.deb                            902b9c52fb656e62c4f6f299e3d1b854    
bullseye        deluge                      deluged                         2.0.5                  deluged_2.0.5-1build1_all.deb                            444685e224432d7a23326f7f8587fd56    
jammy           deluge                      deluged                         2.0.5                  deluged_2.0.5-1build1_all.deb                            677bc8ce3e3271fcc5ba403458a0debd    
bookworm        deluge                      deluged                         2.1.1                  deluged_2.1.1-1build1_all.deb                            a77655ff163884672b2b0ba2af4dc7a1    
bullseye        deluge                      deluged                         2.1.1                  deluged_2.1.1-1build1_all.deb                            f700f1b41371cb3a731ffebb690c8ae8    
jammy           deluge                      deluged                         2.1.1                  deluged_2.1.1-1build1_all.deb                            27691e0641b1ee99e40e605e76c17608    

bookworm        gcc                         gcc                             4:12.2.0               -                                                        -
bullseye        gcc                         gcc                             12.2.0                 gcc_12.2.0-1build1_amd64.deb                             f29daf9201a88760141d75e22011b1ab
jammy           gcc                         gcc                             12.2.0                 gcc_12.2.0-1build1_amd64.deb                             7c3d2a32fae02cb6290092ff72a0cd02

bookworm        libtorrent-rakshasa         libtorrent-dev                  0.13.6                 libtorrent-dev_0.13.6-1build1_amd64.deb                  56e615c5a99bc8ae83f4a87f5c33e9e7    
bullseye        libtorrent-rakshasa         libtorrent-dev                  0.13.6                 libtorrent-dev_0.13.6-1build1_amd64.deb                  42a636501ee1f034823bfd65786d6b1e    
jammy           libtorrent-rakshasa         libtorrent-dev                  0.13.6                 libtorrent-dev_0.13.6-1build1_amd64.deb                  38f961f8591cef82d3a23a095fcc6f7d    
bookworm        libtorrent-rakshasa         libtorrent-dev                  0.13.7                 libtorrent-dev_0.13.7-1build1_amd64.deb                  1560724f61c8651775f0834c7e40766f    
bullseye        libtorrent-rakshasa         libtorrent-dev                  0.13.7                 libtorrent-dev_0.13.7-1build1_amd64.deb                  d2cd44a9235f0257d8eb644674c297de    
jammy           libtorrent-rakshasa         libtorrent-dev                  0.13.7                 libtorrent-dev_0.13.7-1build1_amd64.deb                  c2e2ee4298d733d23399a65d055fa6aa    
bookworm        libtorrent-rakshasa         libtorrent-dev                  0.13.8                 libtorrent-dev_0.13.8-1build1_amd64.deb                  f42569480b70dce6c4c51fa4feb5cae9    
bullseye        libtorrent-rakshasa         libtorrent-dev                  0.13.8                 libtorrent-dev_0.13.8-1build1_amd64.deb                  b760e5224784dd5729d61c8436c719d4    
jammy           libtorrent-rakshasa         libtorrent-dev                  0.13.8                 libtorrent-dev_0.13.8-1build1_amd64.deb                  81809e0e40a5760ed5bc4cc8456e8b8b    

bookworm        libtorrent-rasterbar        libtorrent-rasterbar            2.0.10                 libtorrent-rasterbar_2.0.10-1build1_amd64.deb            2acf81c97b903f2f9f8b87dc13769744    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar            2.0.10                 libtorrent-rasterbar_2.0.10-1build1_amd64.deb            b976942ed127e06886d9a3af7fce88cc    
jammy           libtorrent-rasterbar        libtorrent-rasterbar            2.0.10                 libtorrent-rasterbar_2.0.10-1build1_amd64.deb            0c03b5663f07ebf6f43486002e11a8e4    

bookworm        libtorrent-rasterbar        libtorrent-rasterbar-python3    2.0.10                 libtorrent-rasterbar2.0.10-python3-1build1_amd64.deb     8a0044eb548b731b7ff49ec9caf0b73c    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-python3    2.0.10                 libtorrent-rasterbar2.0.10-python3-1build1_amd64.deb     cff604b9ec49d408eebbed2e457a2c93    
jammy           libtorrent-rasterbar        libtorrent-rasterbar-python3    2.0.10                 libtorrent-rasterbar2.0.10-python3-1build1_amd64.deb     422ae086513eac8c4f9bc1356342b79c    

bookworm        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.1.14                 libtorrent-rasterbar-dev_1.1.14-1build1_amd64.deb        33f561496f7e407c359ebba7e1dc9bff    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.1.14                 libtorrent-rasterbar-dev_1.1.14-1build1_amd64.deb        f26e8b7c9acabb6cdb46f2c50d3d06f0    
jammy           libtorrent-rasterbar        libtorrent-rasterbar-dev        1.1.14                 libtorrent-rasterbar-dev_1.1.14-1build1_amd64.deb        e40c56958e1cf79fb4144fd680e18b40    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.7                  libtorrent-rasterbar-dev_1.2.7-1build1_amd64.deb         38aa2b5c5d6395ab7432a21bb1ec6610    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.8                  libtorrent-rasterbar-dev_1.2.8-1build1_amd64.deb         223f3b2a874738adcdf62425346aa0cd    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.9                  libtorrent-rasterbar-dev_1.2.9-1build1_amd64.deb         ebc2dbc20700ef5fe598b89b73a7c888    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.10                 libtorrent-rasterbar-dev_1.2.10-1build1_amd64.deb        d556940497e6671a0a676f92f72daa34    
bookworm        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.11                 libtorrent-rasterbar-dev_1.2.11-1build1_amd64.deb        671e02faad47b0cb3bb23ded6294adf5    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.11                 libtorrent-rasterbar-dev_1.2.11-1build1_amd64.deb        fdb312cf1c14b46279446567c86d62d8    
jammy           libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.11                 libtorrent-rasterbar-dev_1.2.11-1build1_amd64.deb        65e468c601599151ebc6c67d53d2c777    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.12                 libtorrent-rasterbar-dev_1.2.12-1build1_amd64.deb        cf7172052584d7b68bf8166b485e3862    
bookworm        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.19                 libtorrent-rasterbar-dev_1.2.19-1build1_amd64.deb        d2c1cbe8259195e2a3ac5327d9980a71    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.19                 libtorrent-rasterbar-dev_1.2.19-1build1_amd64.deb        68b3ecd80870d7370faac33eaa2d6591    
jammy           libtorrent-rasterbar        libtorrent-rasterbar-dev        1.2.19                 libtorrent-rasterbar-dev_1.2.19-1build1_amd64.deb        776db2922311214bdd6db475ced06a3d    

bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.7                  libtorrent-rasterbar10_1.2.7-1build1_amd64.deb           c42704eeeb51b4783e1f9aeaa4e3ff31    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.8                  libtorrent-rasterbar10_1.2.8-1build1_amd64.deb           39f394438849a5546b97292ab4ccc468    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.9                  libtorrent-rasterbar10_1.2.9-1build1_amd64.deb           907e3423ff07280125141710f83193dd    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.10                 libtorrent-rasterbar10_1.2.10-1build1_amd64.deb          a34ca165ddc69b7c634bf02051e3c4ac    
bookworm        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.11                 libtorrent-rasterbar10_1.2.11-1build1_amd64.deb          f19fc925d6fcc303ddfb29f808f224f9    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.11                 libtorrent-rasterbar10_1.2.11-1build1_amd64.deb          65ab26e14767b00c12155a375457e639    
jammy           libtorrent-rasterbar        libtorrent-rasterbar10          1.2.11                 libtorrent-rasterbar10_1.2.11-1build1_amd64.deb          759771b76cbc01f7958d847a35895dfd    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.12                 libtorrent-rasterbar10_1.2.12-1build1_amd64.deb          9b4b262bfa2961f02a302d6481439fa7    
bookworm        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.19                 libtorrent-rasterbar10_1.2.19-1build1_amd64.deb          407f8cf038bb93348cc889240e2112a3    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar10          1.2.19                 libtorrent-rasterbar10_1.2.19-1build1_amd64.deb          ef9710fbb14805741626a16aef4ff655    
jammy           libtorrent-rasterbar        libtorrent-rasterbar10          1.2.19                 libtorrent-rasterbar10_1.2.19-1build1_amd64.deb          933c51958b161ba277f6ff989b629ba1    

bookworm        libtorrent-rasterbar        libtorrent-rasterbar9           1.1.14                 libtorrent-rasterbar9_1.1.14-1build1_amd64.deb           d68a7c77f55d2f2b6113e83b322b033b    
bullseye        libtorrent-rasterbar        libtorrent-rasterbar9           1.1.14                 libtorrent-rasterbar9_1.1.14-1build1_amd64.deb           8121cb25c66c863f09031fd9fb8d9d6c    
jammy           libtorrent-rasterbar        libtorrent-rasterbar9           1.1.14                 libtorrent-rasterbar9_1.1.14-1build1_amd64.deb           b03970350904322628a81efe02b9b1fc    

bookworm        libtorrent-rakshasa         libtorrent19                    0.13.6                 libtorrent19_0.13.6-1build1_amd64.deb                    e9e321646acfce8cee36696416187ccd    
bullseye        libtorrent-rakshasa         libtorrent19                    0.13.6                 libtorrent19_0.13.6-1build1_amd64.deb                    ab45b0ececb72ff2a40220effdb389cd    
jammy           libtorrent-rakshasa         libtorrent19                    0.13.6                 libtorrent19_0.13.6-1build1_amd64.deb                    ffaeb604cb6142909526d662aa6965a6    
bookworm        libtorrent-rakshasa         libtorrent20                    0.13.7                 libtorrent20_0.13.7-1build1_amd64.deb                    57c2ed00fa2b9c5c78b1326a4e3a3125    
bullseye        libtorrent-rakshasa         libtorrent20                    0.13.7                 libtorrent20_0.13.7-1build1_amd64.deb                    4ce2c48d746058078e3db6fb21992b02    
jammy           libtorrent-rakshasa         libtorrent20                    0.13.7                 libtorrent20_0.13.7-1build1_amd64.deb                    f00308d4e9bb693270dcad7570234ef5    
bookworm        libtorrent-rakshasa         libtorrent21                    0.13.8                 libtorrent21_0.13.8-1build1_amd64.deb                    81d3fff769387b56dc98c2861ca7c326    
bullseye        libtorrent-rakshasa         libtorrent21                    0.13.8                 libtorrent21_0.13.8-1build1_amd64.deb                    da10724880dce8007eeb9f912163f002    
jammy           libtorrent-rakshasa         libtorrent21                    0.13.8                 libtorrent21_0.13.8-1build1_amd64.deb                    bbbbc793e4448239686f95a7390597fd    
bookworm        libtorrent-rakshasa         libtorrent22                    0.14.0                 libtorrent22_0.14.0-1build1_amd64.deb                    236d001a03f52c2a1fe519e6f3e0640e    
bullseye        libtorrent-rakshasa         libtorrent22                    0.14.0                 libtorrent22_0.14.0-1build1_amd64.deb                    2dab2e0c617c85664c0149199472ab89    
jammy           libtorrent-rakshasa         libtorrent22                    0.14.0                 libtorrent22_0.14.0-1build1_amd64.deb                    22bb67e4ca257eb12b1fe231a35b83a8   
bookworm        libtorrent-rakshasa         libtorrent23                    0.15.1                 libtorrent23_0.15.1-1build1_amd64.deb                    64dcd9cb016d0a5c9f89fff39d80a9e0   
bullseye        libtorrent-rakshasa         libtorrent23                    0.15.1                 libtorrent23_0.15.1-1build1_amd64.deb                    6595d682c4dedbcf43e2aac9b60a5190   
jammy           libtorrent-rakshasa         libtorrent23                    0.15.1                 libtorrent23_0.15.1-1build1_amd64.deb                    8ecfe664265043b06115d97fff1a49a7   

bookworm        libtorrent-rasterbar        python3-libtorrent              1.1.14                 python3-libtorrent_1.1.14-1build1_amd64.deb              701505a1fbbcd692c0f575cc24d6870a    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.1.14                 python3-libtorrent_1.1.14-1build1_amd64.deb              ad6e86d5c8e5f342fad96342d9ca964a    
jammy           libtorrent-rasterbar        python3-libtorrent              1.1.14                 python3-libtorrent_1.1.14-1build1_amd64.deb              65dce0837c7ea41a630c30714746ed91    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.7                  python3-libtorrent_1.2.7-1build1_amd64.deb               5fe0c2080c6a22e21cbbef500acde69a    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.8                  python3-libtorrent_1.2.8-1build1_amd64.deb               6d6e48d1683dbc564623bb1296c2ccf9    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.9                  python3-libtorrent_1.2.9-1build1_amd64.deb               c7231c41bedf72e1606e5086b1caaad1    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.10                 python3-libtorrent_1.2.10-1build1_amd64.deb              4d21391dbf50c2d0a8383f00bfcc8a68    
bookworm        libtorrent-rasterbar        python3-libtorrent              1.2.11                 python3-libtorrent_1.2.11-1build1_amd64.deb              a0be4655e85093d2bf029ed76b01351c    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.11                 python3-libtorrent_1.2.11-1build1_amd64.deb              23421f5cf9162590b2f9bc33e4a84b76    
jammy           libtorrent-rasterbar        python3-libtorrent              1.2.11                 python3-libtorrent_1.2.11-1build1_amd64.deb              50a86e08e831c3bbbd6d3749582e1274    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.12                 python3-libtorrent_1.2.12-1build1_amd64.deb              52cd946196d4ce5959f086e707a0e4d1    
bookworm        libtorrent-rasterbar        python3-libtorrent              1.2.19                 python3-libtorrent_1.2.19-1build1_amd64.deb              df9f36eac5e1d22aef4be6035ed37012    
bullseye        libtorrent-rasterbar        python3-libtorrent              1.2.19                 python3-libtorrent_1.2.19-1build1_amd64.deb              1b7852ebab75da4366e782a0ef08101f    
jammy           libtorrent-rasterbar        python3-libtorrent              1.2.19                 python3-libtorrent_1.2.19-1build1_amd64.deb              160165cc12e3a7f9227b46569d62a3e2    
bookworm        libtorrent-rasterbar        python3-libtorrent              2.0.10                 python3-libtorrent_2.0.10-1build1_amd64.deb              8ad84b1a1cb80b8e545ba6483c2ed2e9    
bullseye        libtorrent-rasterbar        python3-libtorrent              2.0.10                 python3-libtorrent_2.0.10-1build1_amd64.deb              7876fe15221687dfa09cad24db5ed8c6    
jammy           libtorrent-rasterbar        python3-libtorrent              2.0.10                 python3-libtorrent_2.0.10-1build1_amd64.deb              e0b97151ebb1714244411fb6b1e34719    

bookworm        netdata                     netdata                         2.3.1                  netdata_2.3.1-1build1+webv1_amd64.deb                    1d65300d955aff65985f13d070a8b77f    
bullseye        netdata                     netdata                         2.3.1                  netdata_2.3.1-1build1+webv1_amd64.deb                    319ffc624a12506f72552a34e62db75c    
jammy           netdata                     netdata                         2.3.1                  netdata_2.3.1-1build1+webv1_amd64.deb                    357afcfdc95b757bb2ad58bf062aa06d    

bookworm        qbittorrent                 qbittorrent-nox                 4.6.7                  qbittorrent-nox.qbit4.6.7_lt2.0.10.amd64                 78eaaa67386a4b86883ba54250d3ed13    
bullseye        qbittorrent                 qbittorrent-nox                 4.6.7                  qbittorrent-nox.qbit4.6.7_lt1.2.19.amd64                 9c49308ca76f3b98ef5265e93cb1e59b    
jammy           qbittorrent                 qbittorrent-nox                 4.6.7                  qbittorrent-nox.qbit4.6.7_lt2.0.10.amd64                 6e6db98de15fcf98996640c2507666e8    
bookworm        qbittorrent                 qbittorrent-nox                 5.0.1                  qbittorrent-nox.qbit5.0.1_lt2.0.10.amd64                 a2de913b038b6babe9cbdb608110e022    
bullseye        qbittorrent                 qbittorrent-nox                 5.0.1                  qbittorrent-nox.qbit5.0.1_lt2.0.10.amd64                 a5c397d885d21ebdd86aea1781a37ce4    
jammy           qbittorrent                 qbittorrent-nox                 5.0.1                  qbittorrent-nox.qbit5.0.1_lt2.0.10.amd64                 400900db72180520b350bf607e62355c    
bookworm        qbittorrent                 qbittorrent-nox                 5.0.2                  qbittorrent-nox.qbit5.0.2_lt2.0.10.amd64                 21674b040dca2024c6821a7fc0f531a2    
bullseye        qbittorrent                 qbittorrent-nox                 5.0.2                  qbittorrent-nox.qbit5.0.2_lt2.0.10.amd64                 00aaea4f12aedf5f769af30a5b655dac    
jammy           qbittorrent                 qbittorrent-nox                 5.0.2                  qbittorrent-nox.qbit5.0.2_lt2.0.10.amd64                 a55467e3c359e896bba456063e357798    

bookworm        qt6                         libqt6essentials-dev            6.8.0                  libqt6essentials-dev_6.8.0-2build1_amd64.deb             0417b18dc0467ce53b8618cf2c2012ed    
bullseye        qt6                         libqt6essentials-dev            6.8.0                  libqt6essentials-dev_6.8.0-2build1_amd64.deb             2d239075327653cc29a8081d9cbd82df    
jammy           qt6                         libqt6essentials-dev            6.8.0                  libqt6essentials-dev_6.8.0-2build1_amd64.deb             befcea029398af89c25201600afea31f    

bookworm        rtorrent                    rtorrent                        0.9.6                  rtorrent_0.9.6-1build1_amd64.deb                         d93c0b5b8857c1cfc5e6011263e26694    
bullseye        rtorrent                    rtorrent                        0.9.6                  rtorrent_0.9.6-1build1_amd64.deb                         8f780c4d1b125e2022647b48135e97d5    
jammy           rtorrent                    rtorrent                        0.9.6                  rtorrent_0.9.6-1build1_amd64.deb                         b7b48dbaa08eb30a7ec7a619f205bc30    
bookworm        rtorrent                    rtorrent                        0.9.7                  rtorrent_0.9.7-1build1_amd64.deb                         eddf152c85d5f40d7321a0fa672a0de5    
bullseye        rtorrent                    rtorrent                        0.9.7                  rtorrent_0.9.7-1build1_amd64.deb                         f2d2f7194b0dc694b507d294cd722d6d    
jammy           rtorrent                    rtorrent                        0.9.7                  rtorrent_0.9.7-1build1_amd64.deb                         9f911d8887c98b226297e3c60d018fba    
bookworm        rtorrent                    rtorrent                        0.9.8                  rtorrent_0.9.8-1build1_amd64.deb                         3fb36684b3e867d84f5e80a388304d6c    
bullseye        rtorrent                    rtorrent                        0.9.8                  rtorrent_0.9.8-1build1_amd64.deb                         300ce2d07267b7fc0d4ed6ee3a743365    
jammy           rtorrent                    rtorrent                        0.9.8                  rtorrent_0.9.8-1build1_amd64.deb                         d23d85639872f2aafcf3e4280de0cf16    
bookworm        rtorrent                    rtorrent                        0.10.0                 rtorrent_0.10.0-1build1_amd64.deb                        a7df59b0a320efe294b2d2dfd2659c10    
bullseye        rtorrent                    rtorrent                        0.10.0                 rtorrent_0.10.0-1build1_amd64.deb                        623c63eea25320b3b267b17318184fcb    
jammy           rtorrent                    rtorrent                        0.10.0                 rtorrent_0.10.0-1build1_amd64.deb                        d31e1306f227acc67785e40c6cd599db    
